ID,Group,Item,Model,Qty,Unit INR,Total INR,GST,Store,URL,Label,Note
JX0-12,Power,Battery,Bonka 3S 11.1 V 2200 mAh 35C LiPo,1,2039.00,2039.00,incl.,Robocraze,https://robocraze.com/products/bonka-2200mah-35c-3s1p-11-1v-lipo-battery,VERIFIED 2026-09-24,"feeds the 12 V servos directly; ~20-30 min of walking (ESTIMATED)"
JX0-13,Power,Charger,B3 balance charger for 2S/3S LiPo,1,294.00,294.00,not stated,Quartz Components,https://quartzcomponents.com/products/b3-lithium-battery-charger-for-2s-and-3s-lipo-batteries,VERIFIED 2026-09-24,
JX0-14,Power,5 V supply for the Pi,UBEC 5 V 5 A (2-8S input),1,409.00,409.00,incl.,Robu,https://robu.in/product/ubec-5v-5a/,VERIFIED 2026-09-24,
JX0-15,Power,5 V supply for the micro servos,MINI560 5 V 5 A buck (6-24 V in),1,65.00,65.00,not stated,Quartz Components,https://quartzcomponents.com/products/mini560-dc-dc-step-down-stabilized-voltage-module,VERIFIED 2026-09-24,
JX0-16,Power,Battery connector,XT60 male/female pair,2,29.00,58.00,incl.,Robocraze,https://robocraze.com/products/xt60-connector-pair,VERIFIED 2026-09-24,
JX0-17,Power,Power switch,10 A DC-rated toggle switch (CALONIX),1,63.00,63.00,not stated,Quartz Components,https://quartzcomponents.com/products/toggle-10a-spdt-on-off-calonix,VERIFIED 2026-09-24,
JX0-18,Power,Power wire,16 AWG silicone wire (per metre),2,49.00,98.00,incl.,Robu,https://robu.in/product/high-quality-ultra-flexible-16awg-silicone-wire-black/,VERIFIED 2026-09-24,
JX0-19,Power,Signal wire,20 AWG silicone wire (per metre),3,21.00,63.00,incl.,Robu,https://robu.in/product/high-quality-ultra-flexible-20awg-silicone-wire-1000m-white/,VERIFIED 2026-09-24,
JX0-20,Power,Battery alarm,1-8S LiPo voltage checker / low-voltage buzzer,1,98.00,98.00,not stated,Quartz Components,https://quartzcomponents.com/products/lipo-battery-vltage-testerlow-voltage-buzzer-alarm,VERIFIED 2026-09-24,never run a LiPo flat
JX0-21,Structure,PETG filament,Sunlu PETG 1.75 mm 1 kg,2,739.00,1478.00,incl.,Robu,https://robu.in/product/sunlu-petg-red-1-75mm-1kg-roll-filament/,VERIFIED 2026-09-24,"all 21 printed pieces 351 g (CAD, 3 walls + 25 % infill); the second spool covers fit-check prints and reprints"
JX0-22,Structure,M2 x 6 screws (horns and servo cases),M2 x 6 12.9 socket head (pack of 10),10,49.00,490.00,not stated,Indian Hobby Center,https://indianhobbycenter.com/products/m2-x-6mm-hex-allen-socket-head-high-tensile12-9-black-oxide-screw-copy,VERIFIED 2026-09-24,screw size ASSUMED (not published for the ST3215); fit-check
JX0-23,Structure,M3 x 8 screws (torso to pelvis),M3 x 8 socket head SS202 (pack of 10),1,35.00,35.00,not stated,Quartz Components,https://quartzcomponents.com/products/m3-x-8mm-hex-allen-socket-head-screwpack-of-10,VERIFIED 2026-09-24,
JX0-24,Structure,M3 heat-set inserts,M3 x 4 brass heat-set inserts (25 pcs),1,91.00,91.00,incl.,Robu,https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/,VERIFIED 2026-09-24,
JX0-25,Structure,Foot grip,Natural rubber sheet 1 mm x 100 mm x 1 m,1,978.00,978.00,incl.,IndustryBuying,https://www.industrybuying.com/esd-rubber-mats-accessories-monotaro-SAF.ESD.238081761,VERIFIED 2026-09-24,ships in 19 days; any thin rubber or anti-slip mat works
JX0-26,Electronics,Push-to-talk button,12 mm momentary push button,1,20.00,20.00,,any electronics shop,,ESTIMATED,
JX0-27,Electronics,Jumper wires and servo extensions,Dupont jumpers + 3-pin extensions,1,200.00,200.00,,any electronics shop,,ESTIMATED,
